DebateId,TopicId,Model1name,Model2name,Model1Position,starting,PositionAStarts,PromptVariant,PromptSha256,Judge,Winner,Confidence
23,agricultural_future,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.90
23,agricultural_future,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.90
23,agricultural_future,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.92
23,agricultural_future,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.85
42,criminal_justice_framework,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,gemma-4-31b-it,0.80
42,criminal_justice_framework,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,meta-llama-3.1-8b-instruct,0.90
42,criminal_justice_framework,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,Tie,0.95
42,criminal_justice_framework,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,gemma-4-31b-it,0.85
68,cultural_repatriation,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,meta-llama-3.1-8b-instruct,0.90
68,cultural_repatriation,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,1.00
68,cultural_repatriation,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,gemma-4-31b-it,0.95
68,cultural_repatriation,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,gemma-4-31b-it,0.95
76,de_extinction_ethics,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,meta-llama-3.1-8b-instruct,0.80
76,de_extinction_ethics,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,meta-llama-3.1-8b-instruct,0.80
76,de_extinction_ethics,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.85
76,de_extinction_ethics,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,Tie,0.85
117,digital_media_ownership,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.85
117,digital_media_ownership,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.80
117,digital_media_ownership,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,Tie,0.95
