topic,judge,evaluations,position_a_wins,position_b_wins,ties,position_a_share_decisive
agricultural_future,gemma-4-31b-it,24,6,6,12,0.5
agricultural_future,glm-4.7,24,12,12,0,0.5
agricultural_future,qwen3-30b-a3b-instruct-2507,24,11,11,2,0.5
criminal_justice_framework,gemma-4-31b-it,24,10,9,5,0.526
criminal_justice_framework,glm-4.7,24,11,13,0,0.458
criminal_justice_framework,qwen3-30b-a3b-instruct-2507,24,14,5,5,0.737
cultural_repatriation,gemma-4-31b-it,24,10,8,6,0.556
cultural_repatriation,glm-4.7,24,12,12,0,0.5
cultural_repatriation,qwen3-30b-a3b-instruct-2507,24,16,3,5,0.842
de_extinction_ethics,gemma-4-31b-it,24,5,7,12,0.417
de_extinction_ethics,glm-4.7,24,12,12,0,0.5
de_extinction_ethics,qwen3-30b-a3b-instruct-2507,24,8,5,11,0.615
digital_media_ownership,gemma-4-31b-it,24,7,4,13,0.636
digital_media_ownership,glm-4.7,24,12,12,0,0.5
digital_media_ownership,qwen3-30b-a3b-instruct-2507,24,12,5,7,0.706
economic_safety_net,gemma-4-31b-it,24,3,7,14,0.3
economic_safety_net,glm-4.7,24,14,10,0,0.583
economic_safety_net,qwen3-30b-a3b-instruct-2507,24,12,11,1,0.522
energy_transition_infrastructure,gemma-4-31b-it,24,3,8,13,0.273
energy_transition_infrastructure,glm-4.7,24,11,13,0,0.458
energy_transition_infrastructure,qwen3-30b-a3b-instruct-2507,24,4,19,1,0.174
exploration_priority,gemma-4-31b-it,24,5,7,12,0.417
exploration_priority,glm-4.7,24,15,9,0,0.625
exploration_priority,qwen3-30b-a3b-instruct-2507,24,14,5,5,0.737
mega_event_hosting,gemma-4-31b-it,24,5,8,11,0.385
mega_event_hosting,glm-4.7,24,15,9,0,0.625
mega_event_hosting,qwen3-30b-a3b-instruct-2507,24,14,3,7,0.824
political_ads,gemma-4-31b-it,24,4,5,15,0.444
political_ads,glm-4.7,24,12,12,0,0.5
political_ads,qwen3-30b-a3b-instruct-2507,24,14,3,7,0.824
