mode,model,condition,value,evaluations,wins,ties,score
different-position,apertus-70b-instruct-2509,position,A,180,48,26,0.339
different-position,apertus-70b-instruct-2509,position,B,180,23,57,0.286
different-position,apertus-70b-instruct-2509,speaking,starter,180,31,39,0.281
different-position,apertus-70b-instruct-2509,speaking,nonstarter,180,40,44,0.344
different-position,gemma-4-31b-it,position,A,180,88,41,0.603
different-position,gemma-4-31b-it,position,B,180,51,50,0.422
different-position,gemma-4-31b-it,speaking,starter,180,74,36,0.511
different-position,gemma-4-31b-it,speaking,nonstarter,180,65,55,0.514
different-position,meta-llama-3.1-8b-instruct,position,A,180,90,43,0.619
different-position,meta-llama-3.1-8b-instruct,position,B,180,97,20,0.594
different-position,meta-llama-3.1-8b-instruct,speaking,starter,180,87,36,0.583
different-position,meta-llama-3.1-8b-instruct,speaking,nonstarter,180,100,27,0.631
different-position,qwen3-30b-a3b-instruct-2507,position,A,180,77,54,0.578
different-position,qwen3-30b-a3b-instruct-2507,position,B,180,82,37,0.558
different-position,qwen3-30b-a3b-instruct-2507,speaking,starter,180,61,53,0.486
different-position,qwen3-30b-a3b-instruct-2507,speaking,nonstarter,180,98,38,0.65
same-position,apertus-70b-instruct-2509,tested_position,A,360,185,0,0.514
same-position,apertus-70b-instruct-2509,tested_position,B,360,161,1,0.449
same-position,apertus-70b-instruct-2509,candidate_speaking,starts,360,172,0,0.478
same-position,apertus-70b-instruct-2509,candidate_speaking,does_not_start,360,174,1,0.485
same-position,gemma-4-31b-it,tested_position,A,360,261,0,0.725
same-position,gemma-4-31b-it,tested_position,B,360,250,0,0.694
same-position,gemma-4-31b-it,candidate_speaking,starts,360,254,0,0.706
same-position,gemma-4-31b-it,candidate_speaking,does_not_start,360,257,0,0.714
same-position,meta-llama-3.1-8b-instruct,tested_position,A,360,26,0,0.072
same-position,meta-llama-3.1-8b-instruct,tested_position,B,360,59,3,0.168
same-position,meta-llama-3.1-8b-instruct,candidate_speaking,starts,360,36,2,0.103
same-position,meta-llama-3.1-8b-instruct,candidate_speaking,does_not_start,360,49,1,0.138
same-position,qwen3-30b-a3b-instruct-2507,tested_position,A,360,248,0,0.689
same-position,qwen3-30b-a3b-instruct-2507,tested_position,B,360,246,4,0.689
same-position,qwen3-30b-a3b-instruct-2507,candidate_speaking,starts,360,256,2,0.714
same-position,qwen3-30b-a3b-instruct-2507,candidate_speaking,does_not_start,360,238,2,0.664
