DebateId1,DebateId2,positionA,positionB,testedPosition,candidate1Model,candidate2Model,candidateStarting,Judge 1 (gemma-4-31b-it) winner,Judge 1 (gemma-4-31b-it) confidence,Judge 2 (qwen3-30b-a3b-instruct-2507) winner,Judge 2 (qwen3-30b-a3b-instruct-2507) confidence,Judge 3 (glm-4.7) winner,Judge 3 (glm-4.7) confidence
1,3,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",A,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,yes,apertus-70b-instruct-2509,1.00,apertus-70b-instruct-2509,0.95,apertus-70b-instruct-2509,0.70
1,3,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",B,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,no,apertus-70b-instruct-2509,0.80,apertus-70b-instruct-2509,0.00,apertus-70b-instruct-2509,0.70
2,4,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",A,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,no,apertus-70b-instruct-2509,1.00,apertus-70b-instruct-2509,0.95,apertus-70b-instruct-2509,0.75
2,4,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",B,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,yes,apertus-70b-instruct-2509,1.00,apertus-70b-instruct-2509,0.95,apertus-70b-instruct-2509,0.75
3,1,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",A,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,yes,apertus-70b-instruct-2509,1.00,meta-llama-3.1-8b-instruct,0.95,apertus-70b-instruct-2509,0.70
3,1,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",B,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,no,apertus-70b-instruct-2509,1.00,meta-llama-3.1-8b-instruct,0.95,apertus-70b-instruct-2509,0.75
4,2,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",A,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,no,apertus-70b-instruct-2509,1.00,apertus-70b-instruct-2509,0.95,apertus-70b-instruct-2509,0.70
4,2,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",B,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,yes,apertus-70b-instruct-2509,1.00,meta-llama-3.1-8b-instruct,0.95,apertus-70b-instruct-2509,0.80
5,7,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",A,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,yes,qwen3-30b-a3b-instruct-2507,1.00,apertus-70b-instruct-2509,0.95,qwen3-30b-a3b-instruct-2507,0.70
5,7,"Policies should prioritize lab-grown meat because it eliminates agricultural methane emissions, uses a fraction of the land and water, and completely bypasses animal slaughter.","Policies should prioritize regenerative livestock farming because grazing animals actively rebuild topsoil ecosystems, sequester carbon naturally, and sustain rural economies that technology cannot replace.",B,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,no,qwen3-30b-a3b-instruct-2507,1.00,apertus-70b-instruct-2509,0.95,qwen3-30b-a3b-instruct-2507,0.70
