DebateId,Judge 1 (gemma-4-31b-it) winner,Judge 1 (gemma-4-31b-it) winningPosition,Judge 1 (gemma-4-31b-it) confidence,Judge 2 (qwen3-30b-a3b-instruct-2507) winner,Judge 2 (qwen3-30b-a3b-instruct-2507) winningPosition,Judge 2 (qwen3-30b-a3b-instruct-2507) confidence,Judge 3 (glm-4.7) winner,Judge 3 (glm-4.7) winningPosition,Judge 3 (glm-4.7) confidence
1,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
2,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
3,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
4,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.95,meta-llama-3.1-8b-instruct,A,0.60
5,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.60
6,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.92,apertus-70b-instruct-2509,A,0.60
7,qwen3-30b-a3b-instruct-2507,A,0.80,apertus-70b-instruct-2509,B,0.85,apertus-70b-instruct-2509,B,0.75
8,qwen3-30b-a3b-instruct-2507,A,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
9,Tie,Tie,0.85,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.60
10,Tie,Tie,0.90,gemma-4-31b-it,B,0.95,gemma-4-31b-it,B,0.75
11,gemma-4-31b-it,A,1.00,apertus-70b-instruct-2509,B,0.95,gemma-4-31b-it,A,0.85
12,Tie,Tie,0.85,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
13,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.85
14,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,B,0.85,meta-llama-3.1-8b-instruct,A,0.60
15,meta-llama-3.1-8b-instruct,B,0.90,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.85
16,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
17,meta-llama-3.1-8b-instruct,A,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.85
18,meta-llama-3.1-8b-instruct,A,0.90,gemma-4-31b-it,B,0.85,meta-llama-3.1-8b-instruct,A,0.75
